stream,date_sampled,time_sampled,transect,sample_type,distance,d13C ,d15N,CN,CP,NP,AFDM,chla,AI
Relict_Channel,20-Jan-13,NA,RC0,orange,1.535,-21.63033228,-6.109830224,9.378347189,20.78049144,2.21579464,NA,NA,NA
Relict_Channel,20-Jan-13,NA,RC0,orange,1.535,-20.68194808,-5.511347324,9.180085444,14.15511094,1.541936731,NA,NA,NA
Relict_Channel,20-Jan-13,NA,RC1,orange,1.5725,-18.34955922,-4.033697911,11.16529725,31.17972878,2.792556982,6.960352423,2.353514537,0.338131519
Relict_Channel,20-Jan-13,NA,RC1,orange,1.5725,-20.03925794,-3.656959783,10.68999251,20.63252141,1.930078192,5.462555066,5.652732159,1.034814677
Relict_Channel,20-Jan-13,NA,RC2,orange,1.6795,-18.87466695,-2.292845803,9.213804592,76.14597807,8.264336117,11.36563877,15.21790573,1.338939767
Relict_Channel,20-Jan-13,NA,RC2,orange,1.6795,-19.37846599,-1.096626821,8.987225563,38.20031399,4.250512433,11.85022026,11.27930485,0.951822379
Relict_Channel,20-Jan-13,NA,RC3,orange,1.8525,-16.01824041,-1.4542687,9.811741739,75.51398264,7.696287229,14.14096916,13.19745463,0.933277944
Relict_Channel,20-Jan-13,NA,RC3,orange,1.8525,-16.58803344,-1.516421913,9.407193406,90.16397743,9.584577837,11.49779736,7.67318326,0.667361149
Relict_Channel,20-Jan-13,NA,RC5,orange,2.2625,-18.45566185,-0.064749256,9.643455164,138.2167481,14.33269983,NA,NA,NA
Relict_Channel,20-Jan-13,NA,RC5,orange,2.2625,-14.24452143,0.196578363,9.696928326,146.6265912,15.12093173,NA,NA,NA
Relict_Channel,20-Jan-13,NA,RC6,orange,2.9325,-15.78865159,-0.468559322,9.394872838,48.77825305,5.1920078,17.79735683,14.83427577,0.83351005
Relict_Channel,20-Jan-13,NA,RC6,orange,2.9325,-17.05239259,-0.331252862,8.357630505,41.28809559,4.940167619,12.59911894,15.60153568,1.238303706
Relict_Channel,20-Jan-13,NA,RC8.5,orange,3.1255,-14.43415818,0.556119108,9.112896017,47.20608306,5.180140645,10.35242291,16.75242555,1.618213021
Relict_Channel,20-Jan-13,NA,RC8.5,orange,3.1255,-15.92841865,0.372507527,9.254547283,33.39487824,3.608483184,8.854625551,NA,NA
